Ticker,period,close,perc_change,close_wig,perc_change_wig,Assets,Number of shares,Market_value
11B,31/12/2021,554,0.37,69296.26,-0.01,219513000,"2,363,143",1309181222
11B,30/09/2021,405.2,-0.15,70340.86,0.06,204691000,"2,363,143",957545543.6
11B,30/06/2021,477.2,-0.14,66067.21,0.14,201184000,"2,363,143",1127691840
11B,31/03/2021,552,0.16,58081.5,0.02,192480000,"2,358,895",1302110040
11B,31/12/2020,474,-0.02,57025.84,0.15,186339000,"2,358,895",1118116230
11B,30/09/2020,485,0,49411.53,0,187586000,"2,358,895",1144064075
11B,30/06/2020,485,0.35,49569.17,0.19,176389000,"2,287,199",1109291515
11B,31/03/2020,360,-0.1,41624.62,-0.28,171247000,"2,287,199",823391640
11B,31/12/2019,400,0.01,57832.88,0.01,155668000,"2,287,199",914879600
11B,30/09/2019,394.5,-0.01,57320.3,-0.05,138764000,"2,287,199",902300005.5
11B,30/06/2019,397,0,60187.43,0.01,126622000,"2,287,199",908018003
11B,31/03/2019,397,0.63,59668.03,0.03,115468000,"2,287,199",908018003
11B,31/12/2018,244,-0.28,57690.5,-0.02,109263000,"2,287,199",558076556
11B,30/09/2018,340,-0.25,58974.76,0.05,86680000,"2,287,199",777647660
11B,30/06/2018,454,1.17,55954.44,-0.04,82298000,"2,287,199",1038388346
11B,31/03/2018,209,0.06,58377.42,-0.08,46848000,"2,287,199",478024591
11B,31/12/2017,198,0.02,63746.2,-0.01,48650000,"2,287,199",452865402
11B,30/09/2017,193.4,0.06,64289.69,0.05,44481000,"2,287,199",442344286.6
11B,30/06/2017,183,-0.04,61018.36,0.05,45053000,"2,287,199",418557417
11B,31/03/2017,191,0.3,57911.31,0.12,43178000,"2,217,199",423485009
11B,31/12/2016,146.8,0.14,51754.03,0.1,45350000,"2,217,199",325484813.2
11B,30/09/2016,129,0.68,47084.94,0.05,40648000,"2,217,199",286018671
11B,30/06/2016,77,0.06,44748.53,-0.09,38931000,"2,217,199",170724323
11B,31/03/2016,72.4,0.03,49017.35,0.05,37882000,"2,217,199",160525207.6
11B,31/12/2015,70.6,0.08,46467.38,-0.07,33896000,"2,217,199",156534249.4
11B,30/09/2015,65.3,0,49824.59,-0.07,28580000,"2,217,199",144783094.7
11B,30/06/2015,65.4,-0.08,53328.98,-0.01,27828000,"2,217,199",145004814.6
11B,31/03/2015,71.4,0.03,54091.32,0.05,27577000,"2,217,199",158308008.6
11B,31/12/2014,69.5,5.32,51416.08,-0.06,21516000,"2,217,199",154095330.5
11B,30/09/2014,11,-0.12,54878.58,0.06,7699000,"2,217,199",24389189
11B,30/06/2014,12.5,0.06,51934.94,-0.01,7645000,"2,217,199",27714987.5
11B,31/03/2014,11.8,0.24,52373.47,0.02,8079000,"2,217,199",26162948.2
11B,31/12/2013,9.5,0.06,51284.25,0.02,8713000,"2,217,199",21063390.5
11B,30/09/2013,9,-0.02,50301.85,0.12,7452000,"2,217,199",19954791
11B,30/06/2013,9.14,-0.2,44747.79,-0.01,7741000,"2,217,199",20265198.86
11B,31/03/2013,11.4,0.33,45147.57,-0.05,7410000,"2,217,199",25276068.6
11B,31/12/2012,8.6,-0.02,47460.59,0.09,7337000,"2,217,199",19067911.4
