No,open,high,low,close,perc_change,abs_change,vol,Ticker,period,No_wig,open_wig,high_wig,low_wig,close_wig,perc_change_wig,abs_change_wig,vol_wig,Nazwa,Kurs,Zmiana,Zmianaprocentowa,WpÅyw naindeks,UdziaÅ wobrocie,Pakiet,UdziaÅ wportfelu,symbol,Date,Currency,Net sales revenues,Profit (loss) on operating activities,Gross profit (loss),Net profit (loss) parent,Depreciation,EBITDA,Assets,Equity,Number of shares,Earnings per share (zl),Book value per share (zl)
96,2.75,4.2,2.32,3.93,+46.10%,1.24,"3,051,200",06N,31-03-2022,124,69667.28,73697.5,54822.98,64900.36,-6.34%,-4395.9,"3,878,205,261",06MAGNA,32900,100,"0,30%","≈ 0,0001%","0,0022%",10 336 000,"0,01%",06MAGNA,31-03-2022,PLN,3751.0,3392.0,3500,2821,49.0,3441,52090,50207,"13 921,975",203,3606
95,3.155,3.64,2.47,2.69,-15.94%,-0.51,"2,385,960",06N,31-12-2021,123,69837.38,75018.06,65750.84,69296.26,-1.49%,-1044.6,"3,454,297,401",06MAGNA,32900,100,"0,30%","≈ 0,0001%","0,0022%",10 336 000,"0,01%",06MAGNA,31-12-2021,PLN,98.0,-5051.0,-4921,-3888,44.0,-5007,49722,47386,"13 921,975",-279,3404
94,2.495,6.16,2.18,3.2,+33.33%,0.8,"10,185,264",06N,30-09-2021,122,66284.69,72244.3,65512.09,70340.86,+6.47%,4273.65,"2,970,706,163",06MAGNA,32900,100,"0,30%","≈ 0,0001%","0,0022%",10 336 000,"0,01%",06MAGNA,30-09-2021,PLN,98.0,-4172.0,-4126,-3374,45.0,-4127,53578,51274,"13 921,975",-242,3683
93,2.82,3.1,2.26,2.4,-17.81%,-0.52,"2,133,905",06N,30-06-2021,121,58243.34,68148.54,58095.95,66067.21,+13.75%,7985.71,"2,954,902,699",06MAGNA,32900,100,"0,30%","≈ 0,0001%","0,0022%",10 336 000,"0,01%",06MAGNA,30-06-2021,PLN,96.0,-12826.0,34176,36126,46.0,-12780,56507,54647,"13 921,975",2595,3925
92,1.55,3.2,1.51,2.92,+88.39%,1.37,"7,217,372",06N,31-03-2021,120,57231.39,60520.71,55301.68,58081.5,+1.85%,1055.66,"4,264,312,559",06MAGNA,32900,100,"0,30%","≈ 0,0001%","0,0022%",10 336 000,"0,01%",06MAGNA,31-03-2021,PLN,133.0,-437.0,-415,-512,54.0,-383,21719,18520,"13 921,975",-37,1330
91,1.08,3.76,1.03,1.55,+43.52%,0.47,"17,312,081",06N,31-12-2020,119,49608.46,57878.17,43679.41,57025.84,+15.41%,7614.31,"3,535,034,210",06MAGNA,32900,100,"0,30%","≈ 0,0001%","0,0022%",10 336 000,"0,01%",06MAGNA,31-12-2020,PLN,94.0,-196.0,557,-151,46.0,-150,21636,19032,"13 921,975",-11,1367
90,0.382,1.37,0.38,1.08,+182.72%,0.698,"22,989,550",06N,30-09-2020,118,49822.43,53332.13,47763.86,49411.53,-0.32%,-157.64,"3,718,103,266",06MAGNA,32900,100,"0,30%","≈ 0,0001%","0,0022%",10 336 000,"0,01%",06MAGNA,30-09-2020,PLN,105.0,-92.0,-191,-223,46.0,-46,21567,19181,"13 921,975",-16,1378
89,0.15,0.39,0.15,0.382,+91.00%,0.182,"657,908",06N,30-06-2020,117,41146.45,51863.82,40661.03,49569.17,+19.09%,7944.55,"4,657,239,114",06MAGNA,32900,100,"0,30%","≈ 0,0001%","0,0022%",10 336 000,"0,01%",06MAGNA,30-06-2020,PLN,89.0,-231.0,-334,-6,51.0,-180,21503,19406,"13 921,975",0,1394
88,0.2,0.2,0.2,0.2,0.00%,0.0,"40,007",06N,31-12-2019,115,57245.86,59651.52,55086.12,57832.88,+0.89%,512.58,"2,119,073,843",06MAGNA,32900,100,"0,30%","≈ 0,0001%","0,0022%",10 336 000,"0,01%",06MAGNA,31-12-2019,PLN,91.0,-20.0,378,273,45.0,25,19583,17028,"13 921,975",20,1223
87,0.2,0.2,0.2,0.2,0.00%,0.0,"40,007",06N,30-06-2019,113,60060.64,62009.9,55999.93,60187.43,+0.87%,519.4,"2,140,098,050",06MAGNA,32900,100,"0,30%","≈ 0,0001%","0,0022%",10 336 000,"0,01%",06MAGNA,30-06-2019,PLN,100.0,659.0,535,434,61.0,720,19064,16953,"13 921,975",31,1218
86,0.27,0.34,0.2,0.2,-33.33%,-0.1,"605,235",06N,30-09-2018,110,55490.11,61604.01,55202.31,58974.76,+5.40%,3020.32,"3,114,244,916",06MAGNA,32900,100,"0,30%","≈ 0,0001%","0,0022%",10 336 000,"0,01%",06MAGNA,30-09-2018,PLN,117.0,-231.0,-287,-240,45.0,-186,23236,20768,"13 921,975",-17,1492
85,0.3,0.35,0.27,0.3,+11.11%,0.03,"145,064",06N,30-06-2018,109,58375.85,61008.88,55124.54,55954.44,-4.15%,-2422.98,"2,602,055,402",06MAGNA,32900,100,"0,30%","≈ 0,0001%","0,0022%",10 336 000,"0,01%",06MAGNA,30-06-2018,PLN,89.0,-445.0,-534,-426,54.0,-391,23267,21007,"13 921,975",-31,1509
84,0.34,0.45,0.27,0.27,-27.03%,-0.1,"447,406",06N,31-03-2018,108,63988.33,67933.05,57947.92,58377.42,-8.42%,-5368.78,"2,382,737,955",06MAGNA,32900,100,"0,30%","≈ 0,0001%","0,0022%",10 336 000,"0,01%",06MAGNA,31-03-2018,PLN,301.0,-39.0,-236,-192,71.0,32,23206,21433,"13 921,975",-14,1540
83,0.26,0.4,0.23,0.37,+32.14%,0.09,"899,154",06N,31-12-2017,107,64552.98,66053.82,61631.16,63746.2,-0.85%,-543.49,"2,974,861,211",06MAGNA,32900,100,"0,30%","≈ 0,0001%","0,0022%",10 336 000,"0,01%",06MAGNA,31-12-2017,PLN,0.0,-405.0,-21,-2,71.0,-334,23242,21625,"13 921,975",0,1553
82,0.28,0.3,0.26,0.28,0.00%,0.0,"645,519",06N,30-09-2017,106,61126.43,65611.21,60619.69,64289.69,+5.36%,3271.33,"3,252,802,426",06MAGNA,32900,100,"0,30%","≈ 0,0001%","0,0022%",10 336 000,"0,01%",06MAGNA,30-09-2017,PLN,0.0,-354.0,-398,-338,71.0,-283,23018,21627,"13 921,975",-24,1553
81,0.54,0.58,0.25,0.28,-48.15%,-0.26,"2,761,721",06N,30-06-2017,105,58258.3,62666.49,58166.29,61018.36,+5.37%,3107.05,"3,148,484,960",06MAGNA,32900,100,"0,30%","≈ 0,0001%","0,0022%",10 336 000,"0,01%",06MAGNA,30-06-2017,PLN,0.0,-368.0,-197,-180,92.0,-276,23562,21965,"13 921,975",-13,1578
80,0.76,0.83,0.5,0.54,-28.95%,-0.22,"11,329,835",06N,31-03-2017,104,51743.43,60631.65,51608.44,57911.31,+11.90%,6157.28,"4,051,485,678",06MAGNA,32900,100,"0,30%","≈ 0,0001%","0,0022%",10 336 000,"0,01%",06MAGNA,31-03-2017,PLN,0.0,-357.0,-532,-430,107.0,-250,24245,22146,"13 921,975",-31,1591
79,1.73,1.73,0.61,0.76,-58.70%,-1.08,"4,540,688",06N,31-12-2016,103,47169.38,51921.03,46674.28,51754.03,+9.92%,4669.09,"2,970,523,858",06MAGNA,32900,100,"0,30%","≈ 0,0001%","0,0022%",10 336 000,"0,01%",06MAGNA,31-12-2016,PLN,0.0,-785.0,-26297,-26134,130.0,-655,24691,22576,"13 921,975",-1877,1622
78,1.85,2.06,1.56,1.84,+0.55%,0.01,"649,065",06N,30-09-2016,102,44973.52,48776.53,43534.02,47084.94,+5.22%,2336.41,"2,945,045,852",06MAGNA,32900,100,"0,30%","≈ 0,0001%","0,0022%",10 336 000,"0,01%",06MAGNA,30-09-2016,PLN,0.0,-619.0,-163,-342,133.0,-486,50405,48710,"13 921,975",-25,3499
77,1.89,2.37,1.81,1.83,-3.17%,-0.06,"317,495",06N,30-06-2016,101,48745.62,48847.22,42812.99,44748.53,-8.71%,-4268.82,"2,727,250,466",06MAGNA,32900,100,"0,30%","≈ 0,0001%","0,0022%",10 336 000,"0,01%",06MAGNA,30-06-2016,PLN,0.0,-760.0,-943,-770,134.0,-626,50689,49052,"13 921,975",-55,3523
76,1.75,1.89,1.65,1.89,+3.85%,0.07,"96,812",06N,31-03-2016,100,45701.18,49017.35,41747.01,49017.35,+5.49%,2549.97,"3,609,071,203",06MAGNA,32900,100,"0,30%","≈ 0,0001%","0,0022%",10 336 000,"0,01%",06MAGNA,31-03-2016,PLN,0.0,-1134.0,-937,-776,133.0,-1001,52055,50290,"13 921,975",-56,3612
75,1.85,1.96,1.75,1.82,-1.62%,-0.03,"87,919",06N,31-12-2015,99,50010.87,51909.32,43724.52,46467.38,-6.74%,-3357.21,"3,528,367,410",06MAGNA,32900,100,"0,30%","≈ 0,0001%","0,0022%",10 336 000,"0,01%",06MAGNA,31-12-2015,PLN,0.0,-908.0,-2247,-1820,135.0,-773,53349,51066,"13 921,975",-131,3668
