symbol,Date,Currency,Net sales revenues,Profit (loss) on operating activities,Gross profit (loss),Net profit (loss) parent,Depreciation,EBITDA,Assets,Equity,Number of shares,Earnings per share (zl),Book value per share (zl)
06MAGNA,30-06-2021,PLN,96,-12826,34176,36126,46,-12780,56507,54647,"13 921,975",2595,3925
06MAGNA,30-09-2021,PLN,98,-4172,-4126,-3374,45,-4127,53578,51274,"13 921,975",-242,3683
06MAGNA,31-12-2021,PLN,98,-5051,-4921,-3888,44,-5007,49722,47386,"13 921,975",-279,3404
06MAGNA,31-03-2022,PLN,3751,3392,3500,2821,49,3441,52090,50207,"13 921,975",203,3606
06MAGNA,30-06-2020,PLN,89,-231,-334,-6,51,-180,21503,19406,"13 921,975",0,1394
06MAGNA,30-09-2020,PLN,105,-92,-191,-223,46,-46,21567,19181,"13 921,975",-16,1378
06MAGNA,31-12-2020,PLN,94,-196,557,-151,46,-150,21636,19032,"13 921,975",-11,1367
06MAGNA,31-03-2021,PLN,133,-437,-415,-512,54,-383,21719,18520,"13 921,975",-37,1330
06MAGNA,30-06-2019,PLN,100,659,535,434,61,720,19064,16953,"13 921,975",31,1218
06MAGNA,30-09-2019,PLN,125,-125,-239,-199,48,-77,19216,16754,"13 921,975",-14,1203
06MAGNA,31-12-2019,PLN,91,-20,378,273,45,25,19583,17028,"13 921,975",20,1223
06MAGNA,31-03-2020,PLN,90,3389,3298,2388,46,3435,21667,19416,"13 921,975",172,1395
06MAGNA,30-06-2018,PLN,89,-445,-534,-426,54,-391,23267,21007,"13 921,975",-31,1509
06MAGNA,30-09-2018,PLN,117,-231,-287,-240,45,-186,23236,20768,"13 921,975",-17,1492
06MAGNA,31-12-2018,PLN,40,-263,-4895,-3968,50,-213,19437,16801,"13 921,975",-285,1207
06MAGNA,31-03-2019,PLN,91,-119,-350,-284,45,-74,19141,16517,"13 921,975",-20,1186
06MAGNA,30-06-2017,PLN,0,-368,-197,-180,92,-276,23562,21965,"13 921,975",-13,1578
06MAGNA,30-09-2017,PLN,0,-354,-398,-338,71,-283,23018,21627,"13 921,975",-24,1553
06MAGNA,31-12-2017,PLN,0,-405,-21,-2,71,-334,23242,21625,"13 921,975",0,1553
06MAGNA,31-03-2018,PLN,301,-39,-236,-192,71,32,23206,21433,"13 921,975",-14,1540
06MAGNA,30-06-2016,PLN,0,-760,-943,-770,134,-626,50689,49052,"13 921,975",-55,3523
06MAGNA,30-09-2016,PLN,0,-619,-163,-342,133,-486,50405,48710,"13 921,975",-25,3499
06MAGNA,31-12-2016,PLN,0,-785,-26297,-26134,130,-655,24691,22576,"13 921,975",-1877,1622
06MAGNA,31-03-2017,PLN,0,-357,-532,-430,107,-250,24245,22146,"13 921,975",-31,1591
06MAGNA,30-06-2015,PLN,0,-435,-78,-82,136,-299,55246,53440,"13 921,975",-6,3839
06MAGNA,30-09-2015,PLN,0,-785,-679,-554,136,-649,54982,52886,"13 921,975",-40,3799
06MAGNA,31-12-2015,PLN,0,-908,-2247,-1820,135,-773,53349,51066,"13 921,975",-131,3668
