No,open,high,low,close,perc_change,abs_change,vol,period
125,65156.24,66222.27,52140.50,56929.76,-12.28%,-7970.60,"1,797,447,705",30-06-2022
124,69667.28,73697.50,54822.98,64900.36,-6.34%,-4395.90,"3,878,205,261",31-03-2022
123,69837.38,75018.06,65750.84,69296.26,-1.49%,-1044.60,"3,454,297,401",31-12-2021
122,66284.69,72244.30,65512.09,70340.86,+6.47%,+4273.65,"2,970,706,163",30-09-2021
121,58243.34,68148.54,58095.95,66067.21,+13.75%,+7985.71,"2,954,902,699",30-06-2021
120,57231.39,60520.71,55301.68,58081.50,+1.85%,+1055.66,"4,264,312,559",31-03-2021
119,49608.46,57878.17,43679.41,57025.84,+15.41%,+7614.31,"3,535,034,210",31-12-2020
118,49822.43,53332.13,47763.86,49411.53,-0.32%,-157.64,"3,718,103,266",30-09-2020
117,41146.45,51863.82,40661.03,49569.17,+19.09%,+7944.55,"4,657,239,114",30-06-2020
116,58122.41,59298.22,35588.11,41624.62,-28.03%,-16208.26,"3,315,894,366",31-03-2020
115,57245.86,59651.52,55086.12,57832.88,+0.89%,+512.58,"2,119,073,843",31-12-2019
114,60938.78,61089.67,54702.14,57320.30,-4.76%,-2867.13,"2,360,804,652",30-09-2019
113,60060.64,62009.90,55999.93,60187.43,+0.87%,+519.40,"2,140,098,050",30-06-2019
112,57494.06,61402.29,57090.34,59668.03,+3.43%,+1977.53,"2,390,358,154",31-03-2019
111,59152.37,59707.73,54027.32,57690.50,-2.18%,-1284.26,"3,263,156,492",31-12-2018
110,55490.11,61604.01,55202.31,58974.76,+5.40%,+3020.32,"3,114,244,916",30-09-2018
109,58375.85,61008.88,55124.54,55954.44,-4.15%,-2422.98,"2,602,055,402",30-06-2018
108,63988.33,67933.05,57947.92,58377.42,-8.42%,-5368.78,"2,382,737,955",31-03-2018
107,64552.98,66053.82,61631.16,63746.20,-0.85%,-543.49,"2,974,861,211",31-12-2017
106,61126.43,65611.21,60619.69,64289.69,+5.36%,+3271.33,"3,252,802,426",30-09-2017
105,58258.30,62666.49,58166.29,61018.36,+5.37%,+3107.05,"3,148,484,960",30-06-2017
104,51743.43,60631.65,51608.44,57911.31,+11.90%,+6157.28,"4,051,485,678",31-03-2017
103,47169.38,51921.03,46674.28,51754.03,+9.92%,+4669.09,"2,970,523,858",31-12-2016
102,44973.52,48776.53,43534.02,47084.94,+5.22%,+2336.41,"2,945,045,852",30-09-2016
101,48745.62,48847.22,42812.99,44748.53,-8.71%,-4268.82,"2,727,250,466",30-06-2016
100,45701.18,49017.35,41747.01,49017.35,+5.49%,+2549.97,"3,609,071,203",31-03-2016
99,50010.87,51909.32,43724.52,46467.38,-6.74%,-3357.21,"3,528,367,410",31-12-2015
98,53330.19,53694.88,48048.05,49824.59,-6.57%,-3504.39,"3,478,162,037",30-09-2015
