No,open,high,low,close,perc_change,abs_change,vol,Ticker,period
97,3.990,4.300,3.100,3.390,-13.74%,-0.540,"772,761",06N,30-06-2022
96,2.750,4.200,2.320,3.930,+46.10%,+1.240,"3,051,200",06N,31-03-2022
95,3.155,3.640,2.470,2.690,-15.94%,-0.510,"2,385,960",06N,31-12-2021
94,2.495,6.160,2.180,3.200,+33.33%,+0.800,"10,185,264",06N,30-09-2021
93,2.820,3.100,2.260,2.400,-17.81%,-0.520,"2,133,905",06N,30-06-2021
92,1.550,3.200,1.510,2.920,+88.39%,+1.370,"7,217,372",06N,31-03-2021
91,1.080,3.760,1.030,1.550,+43.52%,+0.470,"17,312,081",06N,31-12-2020
90,0.382,1.370,0.380,1.080,+182.72%,+0.698,"22,989,550",06N,30-09-2020
89,0.150,0.390,0.150,0.382,+91.00%,+0.182,"657,908",06N,30-06-2020
88,0.200,0.200,0.200,0.200,0.00%,0.000,"40,007",06N,31-12-2019
87,0.200,0.200,0.200,0.200,0.00%,0.000,"40,007",06N,30-06-2019
86,0.270,0.340,0.200,0.200,-33.33%,-0.100,"605,235",06N,30-09-2018
85,0.300,0.350,0.270,0.300,+11.11%,+0.030,"145,064",06N,30-06-2018
84,0.340,0.450,0.270,0.270,-27.03%,-0.100,"447,406",06N,31-03-2018
83,0.260,0.400,0.230,0.370,+32.14%,+0.090,"899,154",06N,31-12-2017
82,0.280,0.300,0.260,0.280,0.00%,0.000,"645,519",06N,30-09-2017
81,0.540,0.580,0.250,0.280,-48.15%,-0.260,"2,761,721",06N,30-06-2017
80,0.760,0.830,0.500,0.540,-28.95%,-0.220,"11,329,835",06N,31-03-2017
79,1.730,1.730,0.610,0.760,-58.70%,-1.080,"4,540,688",06N,31-12-2016
78,1.850,2.060,1.560,1.840,+0.55%,+0.010,"649,065",06N,30-09-2016
77,1.890,2.370,1.810,1.830,-3.17%,-0.060,"317,495",06N,30-06-2016
76,1.750,1.890,1.650,1.890,+3.85%,+0.070,"96,812",06N,31-03-2016
75,1.850,1.960,1.750,1.820,-1.62%,-0.030,"87,919",06N,31-12-2015
74,1.950,2.020,1.750,1.850,-5.13%,-0.100,"60,194",06N,30-09-2015
73,2.150,2.250,1.750,1.950,-9.30%,-0.200,"60,970",06N,30-06-2015
72,2.110,2.400,2.010,2.150,+1.42%,+0.030,"99,472",06N,31-03-2015
71,2.310,2.500,2.030,2.120,-7.83%,-0.180,"296,026",06N,31-12-2014
70,2.210,2.330,2.120,2.300,+4.55%,+0.100,"564,167",06N,30-09-2014
69,2.100,2.330,1.850,2.200,+4.76%,+0.100,"375,497",06N,30-06-2014
68,2.000,2.400,1.700,2.100,+5.00%,+0.100,"1,241,813",06N,31-03-2014
67,2.100,2.300,1.900,2.000,0.00%,0.000,"826,526",06N,31-12-2013
66,1.900,2.500,1.600,2.000,0.00%,0.000,"1,583,952",06N,30-09-2013
65,1.900,2.500,1.300,2.000,+5.26%,+0.100,"2,998,883",06N,30-06-2013
64,2.200,2.600,1.700,1.900,-17.39%,-0.400,"1,775,843",06N,31-03-2013
63,2.800,3.100,2.100,2.300,-17.86%,-0.500,"1,429,470",06N,31-12-2012
62,2.900,3.100,2.400,2.800,-3.45%,-0.100,"340,608",06N,30-09-2012
61,3.800,3.900,2.700,2.900,-23.68%,-0.900,"336,054",06N,30-06-2012
60,3.300,4.600,3.200,3.800,+18.75%,+0.600,"2,389,712",06N,31-03-2012
59,2.000,5.400,1.900,3.200,+60.00%,+1.200,"6,949,994",06N,31-12-2011
58,5.400,5.500,1.900,2.000,-62.96%,-3.400,"3,142,458",06N,30-09-2011
57,6.700,6.800,5.200,5.400,-20.59%,-1.400,"570,761",06N,30-06-2011
56,8.000,8.800,6.600,6.800,-15.00%,-1.200,"1,389,421",06N,31-03-2011
